param	pair	Eucl.dist
m3	B103_N11P34-B103r_N11P34	29.0509794074924
m3	K11_N4P1-K11r_N4P1	29.4290001170288
m3	PP4_NNAP1-PP4r_NNAP1	29.6617533755968
m3	M2_N5P9-M2r_N5P9	26.1291428134529
m3	AMP08_NNAPNA-AMP08r_NNAPNA	54.2767359680215
m3	AMP05_NNAPNA-AMP05r_NNAPNA	38.8448944291271
m3	CA10_N04TAF-CA10r_N04TAF	54.9913386486231
m3	F101_N9P32-F101r_N9P32	31.3514446170942
m3	CC26_N04TAF-CC26r_N04TAF	28.6241503578196
m3_M2	B103_N11P34-B103r_N11P34	29.2089560033431
m3_M2	K11_N4P1-K11r_N4P1	28.6994909655635
m3_M2	PP4_NNAP1-PP4r_NNAP1	29.0446725838823
m3_M2	M2_N5P9-M2r_N5P9	26.8059291343377
m3_M2	AMP08_NNAPNA-AMP08r_NNAPNA	53.7716544035286
m3_M2	AMP05_NNAPNA-AMP05r_NNAPNA	38.6306488891733
m3_M2	CA10_N04TAF-CA10r_N04TAF	54.216262324148
m3_M2	F101_N9P32-F101r_N9P32	32.6981256127547
m3_M2	CC26_N04TAF-CC26r_N04TAF	29.7390565674912
m5	B103_N11P34-B103r_N11P34	19.8732935323682
m5	K11_N4P1-K11r_N4P1	21.3850689182531
m5	PP4_NNAP1-PP4r_NNAP1	22.1789357087535
m5	M2_N5P9-M2r_N5P9	19.6901273700741
m5	AMP08_NNAPNA-AMP08r_NNAPNA	49.3594589330757
m5	AMP05_NNAPNA-AMP05r_NNAPNA	34.236732797007
m5	CA10_N04TAF-CA10r_N04TAF	46.901855943119
m5	F101_N9P32-F101r_N9P32	21.1450119414282
m5	CC26_N04TAF-CC26r_N04TAF	19.3268958766736
m5_M2	B103_N11P34-B103r_N11P34	19.2738633586443
m5_M2	K11_N4P1-K11r_N4P1	20.8351645453702
m5_M2	PP4_NNAP1-PP4r_NNAP1	20.6261807708712
m5_M2	M2_N5P9-M2r_N5P9	16.8550612307527
m5_M2	AMP08_NNAPNA-AMP08r_NNAPNA	47.6447862252551
m5_M2	AMP05_NNAPNA-AMP05r_NNAPNA	33.7084936516877
m5_M2	CA10_N04TAF-CA10r_N04TAF	47.6148827839448
m5_M2	F101_N9P32-F101r_N9P32	20.3930976404407
m5_M2	CC26_N04TAF-CC26r_N04TAF	18.8397555374156
m7	B103_N11P34-B103r_N11P34	15.7888107846486
m7	K11_N4P1-K11r_N4P1	15.865476449699
m7	PP4_NNAP1-PP4r_NNAP1	14.300563427885
m7	M2_N5P9-M2r_N5P9	14.7057993821736
m7	AMP08_NNAPNA-AMP08r_NNAPNA	44.6630158062343
m7	AMP05_NNAPNA-AMP05r_NNAPNA	30.7566689582235
m7	CA10_N04TAF-CA10r_N04TAF	44.526992811671
m7	F101_N9P32-F101r_N9P32	16.7807670557752
m7	CC26_N04TAF-CC26r_N04TAF	14.2449237146471
