Parameter	pair	nloci	nMissLoc	MissTotProp	shareMissLoc	loci.mismatches	unshareMissLoc	loci.error.rate	n.loci.woNA	allele.mismatches	allele.error.rate
m3	B103_N11P34-B103r_N11P34	25045	7275	0.290477141145937	1989	5286	0.72659793814433	0.211060091834698	17770	595	0.0334833989870568
m3	K11_N4P1-K11r_N4P1	25045	5429	0.216769814334198	1380	4049	0.745809541351999	0.161668995807546	19616	603	0.0307402120717781
m3	PP4_NNAP1-PP4r_NNAP1	25045	7580	0.302655220602915	2232	5348	0.705540897097625	0.21353563585546	17465	573	0.0328084740910392
m3	M2_N5P9-M2r_N5P9	25045	3493	0.139468955879417	1020	2473	0.707987403378185	0.0987422639249351	21552	558	0.025890868596882
m3	AMP08_NNAPNA-AMP08r_NNAPNA	25045	4141	0.165342383709323	1008	3133	0.756580536102391	0.125094829307247	20904	656	0.0313815537696135
m3	AMP05_NNAPNA-AMP05r_NNAPNA	25045	2330	0.0930325414254342	1311	1019	0.437339055793991	0.0406867638251148	22715	273	0.0120184899845917
m3	CA10_N04TAF-CA10r_N04TAF	25045	8178	0.326532241964464	1996	6182	0.755930545365615	0.246835695747654	16867	694	0.0411454319084603
m3	F101_N9P32-F101r_N9P32	25045	4938	0.197165102814933	1272	3666	0.742405832320778	0.146376522259932	20107	716	0.0356094892326056
m3	CC26_N04TAF-CC26r_N04TAF	25045	4011	0.160151726891595	971	3040	0.757915731737721	0.121381513276103	21034	599	0.0284777027669487
m3_M2	B103_N11P34-B103r_N11P34	26974	7665	0.284162526877734	2117	5548	0.723809523809524	0.205679543263884	19309	592	0.0306592780568647
m3_M2	K11_N4P1-K11r_N4P1	26974	5699	0.211277526507007	1399	4300	0.754518336550272	0.159412767850523	21275	606	0.0284841363102233
m3_M2	PP4_NNAP1-PP4r_NNAP1	26974	7866	0.291614146956328	2326	5540	0.704296974319858	0.205382961370208	19108	529	0.0276847393761775
m3_M2	M2_N5P9-M2r_N5P9	26974	3733	0.138392526136279	1084	2649	0.709616930083043	0.0982056795432639	23241	572	0.0246116776386558
m3_M2	AMP08_NNAPNA-AMP08r_NNAPNA	26974	4492	0.166530733298732	1144	3348	0.745325022261799	0.124119522503151	22482	687	0.0305577795569789
m3_M2	AMP05_NNAPNA-AMP05r_NNAPNA	26974	2637	0.0977608067027508	1410	1227	0.465301478953356	0.0454882479424631	24337	305	0.0125323581378149
m3_M2	CA10_N04TAF-CA10r_N04TAF	26974	8819	0.326944465040409	2231	6588	0.747023472048985	0.244235189441685	18155	721	0.0397135775268521
m3_M2	F101_N9P32-F101r_N9P32	26974	5244	0.194409431304219	1324	3920	0.747520976353928	0.145325127900942	21730	744	0.0342383801196503
m3_M2	CC26_N04TAF-CC26r_N04TAF	26974	4302	0.159486913323942	1060	3242	0.753602975360298	0.120189812411952	22672	607	0.026773112208892
m5	B103_N11P34-B103r_N11P34	16423	4915	0.299275406442185	1468	3447	0.701322482197355	0.209888570906655	11508	261	0.0226798748696559
m5	K11_N4P1-K11r_N4P1	16423	3477	0.211715277354929	908	2569	0.738855335058959	0.156426962187177	12946	275	0.021242082496524
m5	PP4_NNAP1-PP4r_NNAP1	16423	5266	0.320647871886988	1557	3709	0.704329661982529	0.225841807221579	11157	252	0.0225867168593708
m5	M2_N5P9-M2r_N5P9	16423	1904	0.115934969250441	571	1333	0.700105042016807	0.0811666565182975	14519	276	0.0190095736620979
m5	AMP08_NNAPNA-AMP08r_NNAPNA	16423	2758	0.167935212811301	589	2169	0.786439448875997	0.132070876210193	13665	402	0.0294182217343579
m5	AMP05_NNAPNA-AMP05r_NNAPNA	16423	1639	0.0997990622906899	899	740	0.451494813910921	0.0450587590574195	14784	129	0.00872564935064935
m5	CA10_N04TAF-CA10r_N04TAF	16423	6356	0.387018206174268	1379	4977	0.783039647577093	0.303050599768617	10067	289	0.0287076586867985
m5	F101_N9P32-F101r_N9P32	16423	2958	0.180113255799793	702	2256	0.762677484787018	0.137368324910187	13465	309	0.0229483847010769
m5	CC26_N04TAF-CC26r_N04TAF	16423	2640	0.160750167448091	609	2031	0.769318181818182	0.123668026548134	13783	269	0.0195167960531089
m5_M2	B103_N11P34-B103r_N11P34	17674	5303	0.300045264229942	1589	3714	0.700358287761644	0.210139187507073	12371	234	0.0189152049147199
m5_M2	K11_N4P1-K11r_N4P1	17674	3749	0.212119497567048	1036	2713	0.723659642571352	0.153502319791785	13925	285	0.0204667863554758
m5_M2	PP4_NNAP1-PP4r_NNAP1	17674	5557	0.314416657236619	1670	3887	0.699478135684722	0.219927577232092	12117	260	0.021457456466122
m5_M2	M2_N5P9-M2r_N5P9	17674	2019	0.11423560031685	609	1410	0.698365527488856	0.0797782052732828	15655	245	0.0156499520919834
m5_M2	AMP08_NNAPNA-AMP08r_NNAPNA	17674	2998	0.169627701708725	674	2324	0.775183455637091	0.131492587982347	14676	368	0.0250749523030799
