param	pair	SNP.error.rate
m3	B103_N11P34-B103r_N11P34	0.0284021350570491
m3	K11_N4P1-K11r_N4P1	0.0281140704869518
m3	PP4_NNAP1-PP4r_NNAP1	0.0284532589196731
m3	M2_N5P9-M2r_N5P9	0.0237929765749561
m3	AMP08_NNAPNA-AMP08r_NNAPNA	0.100385291900494
m3	AMP05_NNAPNA-AMP05r_NNAPNA	0.0523807663763134
m3	CA10_N04TAF-CA10r_N04TAF	0.0995697602950215
m3	F101_N9P32-F101r_N9P32	0.0311585019446751
m3	CC26_N04TAF-CC26r_N04TAF	0.0256151843453431
m3_M2	B103_N11P34-B103r_N11P34	0.0272998394127093
m3_M2	K11_N4P1-K11r_N4P1	0.0256646817076239
m3_M2	PP4_NNAP1-PP4r_NNAP1	0.0248878197714762
m3_M2	M2_N5P9-M2r_N5P9	0.0228804745579908
m3_M2	AMP08_NNAPNA-AMP08r_NNAPNA	0.0921031871252761
m3_M2	AMP05_NNAPNA-AMP05r_NNAPNA	0.0474874742116121
m3_M2	CA10_N04TAF-CA10r_N04TAF	0.0913700680929154
m3_M2	F101_N9P32-F101r_N9P32	0.0310885079156755
m3_M2	CC26_N04TAF-CC26r_N04TAF	0.0256684068976428
m5	B103_N11P34-B103r_N11P34	0.019504060324826
m5	K11_N4P1-K11r_N4P1	0.018957654723127
m5	PP4_NNAP1-PP4r_NNAP1	0.0193659339016001
m5	M2_N5P9-M2r_N5P9	0.0174095928024771
m5	AMP08_NNAPNA-AMP08r_NNAPNA	0.121154669439178
m5	AMP05_NNAPNA-AMP05r_NNAPNA	0.0602533967780772
m5	CA10_N04TAF-CA10r_N04TAF	0.108116883116883
m5	F101_N9P32-F101r_N9P32	0.0202953188815583
m5	CC26_N04TAF-CC26r_N04TAF	0.0165167015900407
m5_M2	B103_N11P34-B103r_N11P34	0.0173282706247843
m5_M2	K11_N4P1-K11r_N4P1	0.0181199752628324
m5_M2	PP4_NNAP1-PP4r_NNAP1	0.0176549201659985
m5_M2	M2_N5P9-M2r_N5P9	0.0138773244518457
m5_M2	AMP08_NNAPNA-AMP08r_NNAPNA	0.107853403141361
m5_M2	AMP05_NNAPNA-AMP05r_NNAPNA	0.0530645600653773
m5_M2	CA10_N04TAF-CA10r_N04TAF	0.10262713166385
m5_M2	F101_N9P32-F101r_N9P32	0.0189542483660131
m5_M2	CC26_N04TAF-CC26r_N04TAF	0.0149052285663987
m7	B103_N11P34-B103r_N11P34	0.0167248862072616
m7	K11_N4P1-K11r_N4P1	0.0149159284035437
m7	PP4_NNAP1-PP4r_NNAP1	0.0147625867577393
m7	M2_N5P9-M2r_N5P9	0.0126991830461862
m7	AMP08_NNAPNA-AMP08r_NNAPNA	0.139669070852779
m7	AMP05_NNAPNA-AMP05r_NNAPNA	0.0680482769572812
m7	CA10_N04TAF-CA10r_N04TAF	0.13019936007876
m7	F101_N9P32-F101r_N9P32	0.0161929371231697
m7	CC26_N04TAF-CC26r_N04TAF	0.0138769916052767
