,A10_N07P06,A102_N11P37,A115_N12P40,A122_N03P40,A131_N10P46,A135_N08P46,A18_N7P6,A19_N5P6,A22_N09p09,A27_N8P9,A34_NNAP12,A38_N5P12,A44_N10P14,A82_N15P36,B103_N11P34,B109_N05P34,B113_N05P34,B122_N12P39,B84_NNAP24,B89_NNAP25,B96_N15P33,C101_N08P37,C122_NNAP44,C17_N5P6,C36_N06P12,C64_N09P29,D142_N14P38,D163_N18P43,D168_N19P47,D17_N10P4,D172_N10P48,D32_N9P7,D64_N18P18,D65_N7P18,D66_N10P19,D70_N09P19,D72_N13P19,D73_N7P19,D76_N12P20,D88_NNAP28,E166NNAP38,E174_N8P38,E191_NNAP43,E192_NNAP43,E31_N5P8,E47_N11P11,E48_N8P11,E51_N11P15,E66_N14P20,E67_NNAP22,E77_NNAP28,E83_N13P29,E89_N16P29,F100_N10P32,F101_N9P32,F108_N8P32,F109_N11P32,F111_N11P32,F123_N6P41,F131_N11P43,F134_NNAP48,F138_N07P48,F139_N05P48,F18_N14P4,F67_N9P18,F68_N7P18,F73_N13P19,F84_NNAP28,F85_NNAP28,F9_N4P1,G101_NNAP33,G102_NNAP33,G104_N7P33,G114_N7P35,G12_NNAP5,G148_N6P41,G16_N6P5,G162_NNAP48,G163_NNAP48,G164_N17P48,G22_N9P5,G25_N6P5,G43_N8P11,G52_N11P15,G53_N16P15,G60_N06P17,G63_N7P20,G85_N11P30,G87_N13P30,G89_N11P30,H11_N5P6,H124_N05P37,H141_N14P40,H143_N18P40,H147_N07P40,H148_N05P40,H154_N11P44,H162_N16P46,H18_N13P6,H19_N7P6,H22_N6P6,H25_N5P6,H30_N9P9,H31_N5P9,H38_NNAP09,H42_N4P12,H49_N5P12,H53_N6P12,H65_NNAP16,H79_N4P29,H8_N6P6,I108_N5P34,I111_NNAP39,I15_N13P6,I58_N12P21,I6_N5P6,I61_N9P21,I65_N23P24,I71_NNAP25,I74_N14P29,I79_N11P29,I8_N5P6,I81_N13P29,I93_N05P31,I96_N10P34,J136_NNAP46,J33_N04P10,J35_N05P10,J62_NNAP18,J71_N8P19,J75_N06P20,J89_NNAP28,J90_NNAP28,J91_NNAP28,J92_NNAP28,K10_N3P3,K100_N12P33,K103_N14P33,K104_N03P42,K11_N4P1,K118_NNAP45,K121_N11P47,K122_N10P47,K124_N13P48,K125_N11P48,K14_NNAP5,K23_N8P5,K25_N15P5,K29_N7P8,K30_N11P08,K41_N14P11,K45_NNAP11,K49_N13P11,K51_N14P11,K52_N11P11,K56_N16P15,K6_N3P3,K62_N09P17,K63_N7P17,K69_N10P20,K7_N03P03,K70_N9P20,K71_N12P20,K72_N06P20,K74_NNAP23,K88_N4P30,K94_N08P29,K96_N13P33,K98_N12P33,K99_N10P33,L101_N5P41,L16_N11P05,L76_N5P30,L88_N9P33,M12_NNAP14,M13_NNAP20,M18_N13P29,M19_N13P32,M2_N5P9,M26_NNAP34,M29_N15P34,M30_N12P34,M33_N16P39,M35_N10P39,M39_N13P42,M6_NNAP9,PP1_NNAP1,PP3_NNAP01,PP4_NNAP1,PP5_NNAP1
A10_N07P06,-1,0.0195697,0.0197374,0.020322,0.00391828,0.00316317,0.000242024,4.71963E-05,0.00392901,0.00400152,0.00717738,0.0073646,0.00721179,0.0203206,0.0206659,0.0206689,0.020618,0.0198879,0.0114985,0.0162847,0.00647577,0.0193699,0.0185461,0.000170713,0.00739042,0.00966185,0.0194735,0.0179108,0.00368883,0.000178102,0.00402445,0.00488206,0.00769983,0.0077097,0.00841901,0.00839349,0.00820972,0.00840753,0.00809379,0.00964708,0.0194343,0.0194371,0.0177795,0.0179524,0.00456883,0.00774763,0.00794726,0.00808193,0.00810528,0.0118691,0.00975285,0.00978844,0.0096291,0.0057238,0.00569522,0.00581176,0.00563446,0.00567557,0.0198045,0.0177277,0.00397509,0.00431793,0.00433213,0.000453068,0.00777344,0.00772723,0.00828214,0.00955163,0.00962867,0.00219242,0.00643757,0.00643726,0.00638225,0.0205023,0.0205039,0.021169,0.000516684,0.00410273,0.00409646,0.00410057,0.000459791,0.000413137,0.00788027,0.00808202,0.00805574,0.00802743,0.00807525,0.00916265,0.00920115,0.00919208,0.000116042,0.0191972,0.0198017,0.0199098,0.0198457,0.0198718,0.0182761,0.00333146,0.000123897,0.00012861,0.000086635,0.000121128,0.00397753,0.0039371,0.00395976,0.00732489,0.00731588,0.00725925,0.00720821,0.00989433,0.000207251,0.0207349,0.019797,0.000140716,0.00765527,6.48725E-05,0.00767934,0.0114778,0.0162523,0.00976086,0.00984033,0.000061234,0.00978252,0.0059509,0.020792,0.00347509,0.00758932,0.00762185,0.0076967,0.00827105,0.0080786,0.00941328,0.00941424,0.00935864,0.00946384,0.00195648,0.00629798,0.0063335,0.0188943,0.00225482,0.0175823,0.00367374,0.00370732,0.00401923,0.0039652,0.000434456,0.000329921,0.000411593,0.00473042,0.00453698,0.0078834,0.0078625,0.00793823,0.00784961,0.00788123,0.00798456,0.00197478,0.00799831,0.00799595,0.00817728,0.00197823,0.00814522,0.00800129,0.00802609,0.0117664,0.00931766,0.00967915,0.00641182,0.0063384,0.0063281,0.0197325,0.000426842,0.0091803,0.0064224,0.00719261,0.00800914,0.00980748,0.00559283,0.00371542,0.0205757,0.0208149,0.0207001,0.0200252,0.019727,0.019847,0.00345305,0.000819912,0.000732102,0.00095283,0.00104094
A102_N11P37,0.0195697,-1,0.0133707,0.0144258,0.0230274,0.0227003,0.0197537,0.0196123,0.0156464,0.0155754,0.0128405,0.0126735,0.0134538,0.0126957,0.0118081,0.0118947,0.0118859,0.000376632,0.0301445,0.034149,0.0229472,0.00044329,0.00529183,0.0197385,0.0126988,0.0257918,0.000655799,0.00603892,0.0229446,0.0194076,0.0232862,0.0147397,0.0145597,0.0144277,0.0119721,0.0119699,0.0120965,0.0119736,0.012215,0.0261738,0.000696138,0.000689793,0.0058541,0.00571251,0.0150011,0.0121646,0.012033,0.0132093,0.0121538,0.0305596,0.0262182,0.025793,0.0257145,0.0215592,0.0215723,0.021623,0.0215212,0.0216231,0.012293,0.00641954,0.0232555,0.0235389,0.0235005,0.019134,0.0145138,0.0145245,0.0120654,0.0260507,0.0261232,0.018527,0.0229065,0.022905,0.022809,0.0120065,0.0123122,0.0128861,0.0194082,0.0234607,0.0234389,0.0234426,0.0198908,0.0193215,0.0120652,0.0133484,0.013383,0.0146485,0.0122194,0.025361,0.0253583,0.0253669,0.0196404,0.000502533,0.0133481,0.0134917,0.0135828,0.013564,0.00547049,0.0226152,0.0196932,0.0196905,0.0196563,0.0196843,0.015597,0.015636,0.0156185,0.0127202,0.0127123,0.0128835,0.0149018,0.0259562,0.0197738,0.0118599,0.000336786,0.0196415,0.0127262,0.0195801,0.0126465,0.0300941,0.0341413,0.0257794,0.0258949,0.0195144,0.025829,0.0222856,0.0118197,0.0226982,0.0121857,0.0121518,0.0144504,0.0120984,0.0121924,0.0259726,0.0259343,0.025911,0.0260696,0.0184771,0.0226455,0.0227705,0.0125236,0.0184395,0.00518911,0.0228834,0.0229278,0.0232951,0.0232508,0.0194079,0.0194445,0.0192914,0.01484,0.0150344,0.0120584,0.0121113,0.0119799,0.0120489,0.0120185,0.013395,0.0184388,0.0146227,0.0146618,0.0121151,0.0184915,0.0121077,0.012221,0.0122541,0.0304517,0.0256069,0.0257617,0.0227636,0.0227534,0.0226702,0.0122674,0.0194204,0.02535,0.0227543,0.0132298,0.0122981,0.0257822,0.0214853,0.0158558,0.0118302,0.011594,0.0116569,0.000493099,0.000206558,0.0125492,0.0161167,0.0192972,0.019322,0.0192308,0.018936
A115_N12P40,0.0197374,0.0133707,-1,0.00107375,0.0213719,0.0225103,0.0199794,0.0197832,0.0170505,0.0170223,0.0168224,0.0167849,0.0180043,0.0248932,0.0242601,0.024334,0.0243109,0.0132883,0.0311085,0.035999,0.0256926,0.0129321,0.017837,0.0198838,0.0168859,0.0289951,0.012725,0.0182113,0.0215212,0.0195658,0.0217755,0.0158392,0.0120379,0.0120287,0.0121899,0.0122355,0.0124179,0.0122077,0.0124926,0.0291127,0.01268,0.0126866,0.0179712,0.0179311,0.0164574,0.0163135,0.0163977,0.0185696,0.0125392,0.0314513,0.0292044,0.0290839,0.0289443,0.0245233,0.0245131,0.0246126,0.0244474,0.0245288,0.0011721,0.0184677,0.0217836,0.0218943,0.0217872,0.0193245,0.0119642,0.0120103,0.0123258,0.0290038,0.0290833,0.0176784,0.0256493,0.0256484,0.0255692,0.024376,0.0246328,0.00182126,0.0199271,0.0220725,0.0220268,0.0220287,0.0201944,0.0197588,0.0163408,0.0187539,0.0187745,0.011722,0.0125202,0.0284897,0.0285155,0.0285123,0.0198506,0.012934,8.04717E-05,0.000183692,0.000214948,0.000205543,0.0178717,0.0213311,0.0198263,0.0198023,0.0198053,0.0198507,0.0170067,0.0170117,0.0170646,0.0168181,0.0167842,0.0170557,0.0125319,0.029217,0.0199178,0.0243249,0.0132123,0.0197152,0.0127263,0.0197864,0.0127611,0.0310991,0.0359638,0.0290597,0.0291572,0.0197119,0.0290929,0.0250437,0.0243083,0.0212997,0.0159885,0.0159691,0.0120413,0.0123105,0.0125437,0.0288775,0.0288661,0.028818,0.028945,0.0178442,0.0254392,0.0255197,0.00104239,0.0175967,0.0172287,0.0214096,0.0214564,0.0218048,0.0217888,0.0198711,0.0198365,0.0197186,0.0163283,0.0164258,0.0163302,0.0164184,0.0162459,0.0162328,0.0162224,0.0187236,0.0178178,0.0117481,0.0117533,0.0124546,0.0178314,0.0125198,0.0126502,0.0125688,0.0313535,0.0286868,0.0289964,0.0255681,0.0255152,0.0254703,0.00117023,0.0198785,0.0284979,0.0255707,0.0176106,0.0125515,0.0290931,0.0244019,0.0171211,0.0242508,0.0241244,0.0241429,0.013349,0.0132967,0.000921744,0.01724,0.0190294,0.0191033,0.0189022,0.0187186
A122_N03P40,0.020322,0.0144258,0.00107375,-1,0.0217924,0.0230266,0.0205639,0.0203671,0.0177686,0.0177436,0.0176854,0.0176547,0.0188738,0.0259619,0.025332,0.0254058,0.0253825,0.0143378,0.0316224,0.0365447,0.0263696,0.0139881,0.0189107,0.0204642,0.0177574,0.0296727,0.0137785,0.0192843,0.0219579,0.0201526,0.0222014,0.0165664,0.0126311,0.0126325,0.0129775,0.0130243,0.0132031,0.0129956,0.0132721,0.029773,0.0137339,0.0137404,0.0190441,0.0190044,0.0171918,0.0171939,0.0172863,0.019467,0.0133236,0.0319577,0.029867,0.0297662,0.0296239,0.0252251,0.0252135,0.025315,0.0251476,0.025227,0.00215207,0.0195399,0.0222125,0.0223078,0.0221967,0.0199178,0.0125582,0.0126053,0.0131107,0.0296658,0.0297451,0.0182291,0.0263265,0.0263257,0.0262482,0.0254471,0.0257031,0.00224092,0.0205327,0.0225038,0.0224569,0.0224586,0.0207807,0.0203617,0.0172264,0.0196507,0.0196705,0.0122946,0.0133001,0.0291664,0.0291938,0.02919,0.0204362,0.0139926,0.0010843,0.00093582,0.000858927,0.000871278,0.0189454,0.0217816,0.0204068,0.0203817,0.0203873,0.0204332,0.0177261,0.0177288,0.017785,0.0176867,0.0176522,0.0179234,0.0131168,0.0298966,0.0204976,0.0253969,0.0142628,0.0202935,0.0134791,0.0203728,0.01352,0.031616,0.0365078,0.0297416,0.0298372,0.0202989,0.0297735,0.0257277,0.0253805,0.0217418,0.0168594,0.0168411,0.0126437,0.013093,0.0133258,0.0295375,0.0295278,0.0294785,0.0296026,0.0184073,0.0261216,0.0261986,0.00207294,0.0181496,0.0183018,0.021844,0.0218903,0.022232,0.0222185,0.0204739,0.020435,0.0203215,0.0170676,0.017157,0.0172159,0.017304,0.0171329,0.0171164,0.0171071,0.0196175,0.0183825,0.0123241,0.0123261,0.0132394,0.0183928,0.0133067,0.0134332,0.0133477,0.0318614,0.0293591,0.0296759,0.0262498,0.0261949,0.0261527,0.00216897,0.0204808,0.0291758,0.0262532,0.0184786,0.0133272,0.0297765,0.025102,0.017829,0.0253224,0.025197,0.0252151,0.0143963,0.0143489,0.00189198,0.0179365,0.0195956,0.0196716,0.0194664,0.0192943
A131_N10P46,0.00391828,0.0230274,0.0213719,0.0217924,-1,0.0024973,0.00384788,0.00389217,0.00761611,0.00769159,0.0110165,0.0112033,0.0111212,0.0242183,0.0245786,0.0245807,0.0245297,0.0233269,0.0101034,0.0151402,0.00796704,0.0227934,0.0223541,0.00378769,0.0112382,0.0104692,0.0228736,0.021749,0.000389597,0.00402299,0.000423964,0.00832902,0.00971922,0.00978412,0.0113344,0.0113213,0.0111587,0.0113272,0.0110369,0.0102229,0.0228313,0.0228347,0.0216093,0.0217771,0.00817763,0.0115479,0.0117597,0.0120001,0.0110747,0.0103867,0.010344,0.0106395,0.0104687,0.00787235,0.007833,0.00793782,0.00779198,0.00778311,0.0216367,0.0215798,0.000455748,0.000541448,0.000475165,0.0042434,0.00979139,0.00975398,0.0112132,0.0101646,0.0102281,0.00451039,0.00794427,0.00794483,0.00793542,0.0244121,0.0244095,0.0229695,0.00432466,0.000746053,0.000693434,0.000694038,0.00383968,0.00430424,0.0116859,0.0120001,0.0119737,0.00991804,0.011025,0.0100411,0.0100946,0.0100775,0.00390627,0.0226265,0.0214435,0.0215307,0.0214464,0.0214774,0.0220915,0.000661107,0.0038074,0.0037919,0.00384502,0.00384088,0.00765904,0.00761343,0.00765599,0.0111659,0.0111538,0.0111189,0.00922391,0.0106915,0.00376374,0.0246473,0.0232322,0.00379565,0.0105421,0.00394251,0.0105968,0.0101163,0.0150924,0.01061,0.0106527,0.00397927,0.0106115,0.007725,0.024705,0.000476316,0.0113482,0.0113793,0.00976505,0.0111907,0.0110408,0.0100189,0.0100439,0.00998053,0.0100295,0.00455041,0.00793084,0.00789834,0.0206489,0.00459965,0.0213792,0.00030841,0.000307793,0.000460479,0.000467454,0.00427368,0.00418775,0.00431475,0.00832646,0.00812926,0.0116881,0.0116755,0.0117354,0.0116435,0.0116747,0.0119027,0.00458878,0.00990739,0.00988915,0.0111321,0.00453594,0.0111193,0.0109866,0.0109815,0.0103002,0.0101078,0.0105097,0.00800005,0.007915,0.00795307,0.021566,0.00426148,0.0100713,0.00801882,0.0110866,0.0109497,0.0106711,0.00776447,0.00738819,0.0244878,0.0247299,0.0246143,0.0234649,0.0231724,0.0216356,0.00711577,0.00385986,0.00386088,0.00389308,0.00419301
A135_N08P46,0.00316317,0.0227003,0.0225103,0.0230266,0.0024973,-1,0.00296039,0.00311797,0.00705608,0.00712635,0.0101297,0.0103147,0.00997531,0.0226352,0.0230849,0.0230793,0.0230275,0.0230226,0.00859856,0.0135357,0.00546975,0.0225085,0.0214639,0.00299246,0.0103259,0.00806378,0.0226166,0.020785,0.00210802,0.00333512,0.00223477,0.00804447,0.0105316,0.010564,0.0115423,0.011519,0.0113381,0.0115316,0.0112205,0.00786458,0.0225779,0.0225807,0.0206679,0.0208483,0.00771199,0.0107424,0.0109255,0.0107286,0.0112368,0.00894177,0.00798376,0.00822765,0.00805709,0.00542989,0.00538964,0.0054902,0.00535296,0.00533596,0.0226572,0.020577,0.00216899,0.00247358,0.00258407,0.00361338,0.010606,0.0105625,0.0114076,0.00779675,0.00786426,0.00487365,0.00544699,0.00544755,0.00543857,0.0228957,0.0228657,0.0240137,0.00329302,0.00204341,0.00207988,0.00208319,0.0028113,0.00338006,0.0108674,0.0106939,0.0106637,0.0108115,0.011203,0.00761752,0.00766903,0.00765308,0.00308032,0.0223348,0.0225779,0.0226777,0.0226048,0.0226331,0.0211846,0.00194282,0.00304279,0.00305131,0.00307732,0.00304399,0.00710595,0.00706794,0.0070828,0.010272,0.0102679,0.0101756,0.0100287,0.0082906,0.00295597,0.023151,0.0229326,0.00311407,0.0107679,0.0031437,0.0107985,0.00859043,0.0134963,0.00819812,0.00824841,0.0032139,0.00820351,0.00523948,0.0232141,0.00211663,0.0106255,0.0106588,0.0105483,0.0113943,0.0112087,0.00765071,0.00767058,0.00760805,0.00767089,0.00475611,0.00543596,0.00540177,0.0217133,0.00496061,0.0205178,0.00220522,0.00219348,0.00220045,0.00215219,0.0032924,0.00325807,0.00341108,0.00787513,0.00768415,0.0108716,0.0108411,0.0109342,0.01085,0.0108817,0.0106024,0.00478796,0.0107896,0.0107805,0.0113066,0.00476122,0.0112777,0.011135,0.0111546,0.00884358,0.00770143,0.00810025,0.00550368,0.00541862,0.00545783,0.0225855,0.00327989,0.00764587,0.00552258,0.010025,0.0111349,0.00825721,0.00532863,0.00685064,0.0229895,0.0232602,0.0231354,0.0231596,0.0228603,0.0226829,0.00659497,0.00363673,0.00358238,0.00374422,0.00399389
A18_N7P6,0.000242024,0.0197537,0.0199794,0.0205639,0.00384788,0.00296039,-1,0.000196885,0.00410794,0.00417953,0.00731183,0.00749886,0.00731124,0.0203731,0.0207309,0.0207329,0.0206819,0.0200735,0.0112617,0.0160437,0.0062584,0.0195571,0.0186811,0.000133109,0.00752171,0.00943376,0.0196627,0.0180381,0.00359974,0.000415956,0.00393011,0.00508568,0.00794184,0.00795162,0.00864511,0.00861915,0.00843482,0.00863348,0.00831929,0.00941425,0.0196236,0.0196264,0.0179092,0.0180835,0.00475611,0.00789195,0.00808819,0.00816476,0.00832971,0.0116332,0.00952045,0.00956157,0.0094017,0.00553141,0.00550206,0.00561867,0.005442,0.00548065,0.0200459,0.0178508,0.00387831,0.00422645,0.00424797,0.00068017,0.00801545,0.00796923,0.00850784,0.00931935,0.00939624,0.00242376,0.00622057,0.00622029,0.00616664,0.0205642,0.020562,0.0214104,0.000482338,0.00399118,0.00398777,0.00399192,0.000220055,0.0004665,0.00802304,0.00815965,0.00813273,0.00826938,0.00830052,0.00893534,0.00897427,0.00896499,0.000130632,0.0193839,0.0200437,0.0201518,0.0200877,0.0201138,0.0184094,0.00324279,0.000178149,0.000211672,0.000183594,0.000137129,0.00415711,0.00411776,0.00413695,0.00745848,0.00745048,0.00738651,0.00745023,0.00966637,0.000123282,0.0207996,0.019983,0.000300825,0.00788357,0.000196892,0.00790649,0.0112405,0.0160113,0.00953389,0.00961264,0.000272527,0.00955512,0.00574176,0.0208574,0.00339459,0.00774318,0.00777593,0.00793864,0.0084972,0.00830336,0.00918067,0.00918208,0.00912626,0.00923058,0.00219306,0.00608493,0.0061181,0.0191361,0.00248807,0.0177202,0.00359231,0.00362369,0.00392268,0.00386766,0.000425844,0.000343647,0.000485584,0.00491863,0.00472655,0.00802642,0.00800341,0.00808301,0.0079953,0.00802697,0.00806286,0.00221215,0.00824029,0.0082379,0.00840219,0.00221405,0.00836939,0.00822522,0.00825121,0.0115303,0.00908861,0.00945162,0.00619763,0.00612345,0.00611489,0.0199738,0.000413727,0.00895332,0.00620855,0.00730398,0.00823487,0.00958093,0.00540088,0.00389801,0.0206401,0.0208832,0.0207671,0.0202107,0.019912,0.0200886,0.003639,0.00103871,0.000951872,0.00117344,0.00127965
A19_N5P6,4.71963E-05,0.0196123,0.0197832,0.0203671,0.00389217,0.00311797,0.000196885,-1,0.00397065,0.00404304,0.00721264,0.00739983,0.00724136,0.0203424,0.0206899,0.0206928,0.0206418,0.0199307,0.0114514,0.0162383,0.00644016,0.019413,0.0185817,0.000126281,0.00742519,0.00962302,0.0195168,0.0179452,0.00365956,0.000225292,0.0039944,0.00492691,0.00774549,0.00775558,0.00846596,0.00844041,0.00825661,0.00845447,0.0081407,0.00960662,0.0194776,0.0194804,0.0178142,0.0179874,0.00461165,0.00778444,0.00798356,0.00810874,0.00815212,0.011822,0.00971254,0.00975001,0.00959049,0.00569478,0.00566601,0.00578257,0.00560542,0.00564592,0.0198509,0.0177614,0.00394464,0.00428841,0.00430382,0.00049965,0.00781912,0.00777293,0.00832906,0.00951136,0.00958835,0.00223204,0.00640206,0.00640176,0.00634714,0.0205258,0.0205267,0.0212153,0.000513455,0.00406995,0.00406413,0.00406825,0.000415977,0.000425405,0.00791686,0.00810793,0.00808154,0.00807264,0.00812215,0.00912407,0.00916271,0.00915357,7.70831E-05,0.0192402,0.0198475,0.0199555,0.0198913,0.0199175,0.0183114,0.00330215,8.63294E-05,0.000101362,4.76883E-05,7.44304E-05,0.00401927,0.00397898,0.00400116,0.00736002,0.00735117,0.00729337,0.00725369,0.00985555,0.000162223,0.0207589,0.0198399,0.000144455,0.00770233,5.43694E-05,0.00772634,0.0114307,0.0162058,0.00972239,0.00980163,9.80662E-05,0.00974392,0.00591756,0.020816,0.00344717,0.00762757,0.00766013,0.00774256,0.008318,0.00812547,0.0093729,0.00937402,0.00931834,0.00942322,0.00199821,0.00626358,0.00629844,0.0189404,0.00229518,0.0176183,0.00364573,0.00367895,0.00398882,0.00393462,0.000434531,0.000331047,0.000428165,0.00477337,0.00458009,0.00792002,0.0078988,0.00797512,0.00788664,0.00791826,0.00801058,0.00201688,0.0080436,0.00804117,0.00822415,0.00201963,0.00819205,0.0080481,0.00807297,0.0117192,0.00927851,0.0096405,0.00637711,0.00630347,0.00629365,0.0197788,0.000425811,0.00914183,0.00638778,0.00722416,0.00805606,0.00976915,0.00556391,0.00375754,0.0205996,0.0208395,0.0207244,0.020068,0.0197697,0.0198932,0.0034956,0.000854505,0.000766897,0.000988204,0.00108362
A22_N09p09,0.00392901,0.0156464,0.0170505,0.0177686,0.00761611,0.00705608,0.00410794,0.00397065,-1,7.55501E-05,0.0034816,0.00366358,0.00391438,0.0172174,0.0174256,0.0174395,0.0173902,0.0159672,0.0149816,0.0195169,0.00868975,0.0154525,0.0147423,0.00409649,0.00371655,0.011979,0.0155609,0.014154,0.00746325,0.00377141,0.00780789,0.00122235,0.0055162,0.00545364,0.00501134,0.00497405,0.00478232,0.00499596,0.00468363,0.0121399,0.0155223,0.015525,0.0140084,0.014173,0.000683464,0.00395242,0.0041737,0.00493083,0.00466393,0.0153762,0.0122245,0.0120586,0.0119243,0.00747806,0.00746909,0.00756667,0.00740372,0.00748746,0.0169399,0.0139986,0.00776776,0.00808469,0.00807141,0.00350236,0.00557554,0.00552818,0.0048687,0.0120265,0.012106,0.00346756,0.008646,0.008645,0.00856152,0.0172964,0.017338,0.0183025,0.00376865,0.00793788,0.00792352,0.00792745,0.00424519,0.0036761,0.00409406,0.00499946,0.00498387,0.00593528,0.00465921,0.0114766,0.0114991,0.0114974,0.00399615,0.0152789,0.0171064,0.0172306,0.0171863,0.0172074,0.0144825,0.00711503,0.00405285,0.00405195,0.00401544,0.00404179,5.15053E-05,4.40501E-05,5.21529E-05,0.00363159,0.00361348,0.00363129,0.00514787,0.0121966,0.0041313,0.0174974,0.0158771,0.0040079,0.00435989,0.00393676,0.0043431,0.0149476,0.0194933,0.0120353,0.0121359,0.0038726,0.0120707,0.00802625,0.0175463,0.00722684,0.00373349,0.00376434,0.00545124,0.00487151,0.00464792,0.011907,0.0118903,0.011846,0.0119815,0.00328,0.00842407,0.00851279,0.0161214,0.00340644,0.0137649,0.00742209,0.00746241,0.00781014,0.00776052,0.00376448,0.0037986,0.00364552,0.000846855,0.00067979,0.00409529,0.00409086,0.00413622,0.0040427,0.00407342,0.00490095,0.00324497,0.00588932,0.00590716,0.0047461,0.00330858,0.004695,0.00455112,0.00460809,0.01527,0.0116834,0.0119764,0.00855372,0.00850624,0.0084548,0.0168683,0.00377688,0.0114825,0.00855471,0.00374739,0.00461001,0.0120658,0.00735837,0.000229705,0.0173432,0.01754,0.0174391,0.0161043,0.0158054,0.0170197,0.000501149,0.00376051,0.00376738,0.00372303,0.0034232
A27_N8P9,0.00400152,0.0155754,0.0170223,0.0177436,0.00769159,0.00712635,0.00417953,0.00404304,7.55501E-05,-1,0.00340785,0.00358963,0.00384903,0.017149,0.0173554,0.0173693,0.0173201,0.0158966,0.0150393,0.0195678,0.0087271,0.0153822,0.0146668,0.00416882,0.00364305,0.0120143,0.015491,0.0140785,0.00753848,0.00384436,0.00788312,0.001187,0.00551464,0.00545025,0.0049696,0.00493188,0.0047402,0.00495408,0.00464247,0.0121784,0.0154525,0.0154552,0.0139329,0.0140974,0.000626322,0.00387712,0.00409858,0.0048671,0.00462145,0.0154343,0.0122625,0.0120929,0.0119592,0.00750981,0.00750121,0.00759821,0.00743593,0.0075202,0.0169069,0.0139233,0.00784293,0.00816001,0.00814682,0.00357568,0.00557337,0.00552615,0.004827,0.0120647,0.0121443,0.00353977,0.00868332,0.00868231,0.00859847,0.0172266,0.0172687,0.0182691,0.00383791,0.00801279,0.00799849,0.00800242,0.00431574,0.00374655,0.00401883,0.00493718,0.00492185,0.00593482,0.00461786,0.0115123,0.0115344,0.0115329,0.00406814,0.0152084,0.017078,0.0172025,0.0171588,0.0171798,0.014407,0.00719018,0.00412538,0.00412465,0.00408791,0.00411406,4.56067E-05,9.14737E-05,4.68367E-05,0.00355779,0.00353954,0.00355873,0.00515122,0.0122314,0.00420357,0.0174272,0.0158065,0.004081,0.0043245,0.00400891,0.00430602,0.015005,0.0195444,0.0120697,0.0121706,0.00394498,0.0121054,0.00806239,0.0174759,0.00730215,0.00365794,0.0036888,0.00544816,0.0048304,0.00460595,0.0119458,0.0119287,0.0118847,0.0120206,0.00335356,0.00846032,0.00854982,0.0160912,0.0034782,0.0136894,0.00749743,0.00753772,0.00788532,0.00783568,0.00383441,0.00386925,0.00371615,0.000788024,0.000628824,0.00402004,0.00401577,0.00406085,0.00396731,0.00399801,0.00483881,0.00331845,0.00588855,0.00590688,0.00470389,0.00338201,0.00465206,0.00450851,0.00456677,0.0153281,0.0117199,0.0120113,0.00859001,0.00854308,0.008491,0.0168354,0.00384683,0.0115179,0.00859083,0.00367874,0.00456951,0.0120999,0.00739063,0.00030508,0.017273,0.0174692,0.0173685,0.0160336,0.0157346,0.0169877,0.000576696,0.00383584,0.00384255,0.00379851,0.0034987
