beta  ances 
0.396 0.227
0.384 0.231
0.384 0.232
0.384 0.230
0.379 0.225
0.379 0.226
0.381 0.226
0.380 0.224
0.378 0.223
0.377 0.223
0.378 0.222
0.376 0.222
0.377 0.222
0.377 0.222
0.378 0.223
0.378 0.223
0.377 0.223
0.378 0.223
0.378 0.223
0.378 0.223
0.378 0.222
0.378 0.222
0.379 0.223
0.379 0.222
0.380 0.221
0.381 0.222
0.380 0.222
0.380 0.222
0.380 0.222
0.381 0.222
0.381 0.222
0.381 0.222
0.381 0.222
0.381 0.222
0.381 0.222
0.381 0.222
0.381 0.222
0.381 0.222
0.381 0.222
0.381 0.223
0.381 0.223
0.381 0.223
0.380 0.223
0.380 0.223
0.380 0.223
0.380 0.224
0.380 0.224
0.380 0.224
0.379 0.224
