ID,longitude,latitude,pop,salud,ozono,plot,p_log,p_lat
A10_N07P06,-99.2989653,19.2924916,PNDL,ozone,40_70%,6,-99.2989653,19.2924916
A102_N11P37,-99.3165321,19.2838672,PNDL,ozone,40_70%,37,-99.3165321,19.2838672
A115_N12P40,-99.3070187,19.2744719,PNDL,ozone,10%,40,-99.3070187,19.2744719
A122_N03P40,-99.3064146,19.2735842,PNDL,healthy,0%,40,-99.3070187,19.2744719
A131_N10P46,-99.2950591,19.2921842,PNDL,healthy,0%,46,-99.2950591,19.2921842
A135_N08P46,-99.2963748,19.2943068,PNDL,ozone,10%,46,-99.2950591,19.2921842
A18_N7P6,-99.2988703,19.2927142,PNDL,healthy,0%,6,-99.2989653,19.2924916
A19_N5P6,-99.298936,19.2925286,PNDL,healthy,0%,6,-99.2989653,19.2924916
A22_N09p09,-99.3025716,19.2909322,PNDL,healthy,0%,9,-99.3025716,19.2909322
A27_N8P9,-99.3026466,19.2909231,PNDL,healthy,0%,9,-99.3025716,19.2909322
A34_NNAP12,-99.3060372,19.2912656,PNDL,ozone,10_40%,12,-99.3060372,19.2912656
A38_N5P12,-99.3062224,19.2912379,PNDL,healthy,0%,12,-99.3060372,19.2912656
A44_N10P14,-99.306177,19.2924565,PNDL,healthy,0%,14,-99.306177,19.2924565
A82_N15P36,-99.3189188,19.2963365,PNDL,ozone,40_70%,36,-99.3189188,19.2963365
B103_N11P34,-99.3194378,19.2953122,PNDL,healthy,0%,34,-99.3194378,19.2953122
B109_N05P34,-99.319428,19.295404,PNDL,healthy,0%,34,-99.3194378,19.2953122
B113_N05P34,-99.319376,19.2954079,PNDL,healthy,0%,34,-99.3194378,19.2953122
B122_N12P39,-99.3167273,19.2835451,PNDL,healthy,0%,39,-99.3167273,19.2835451
B84_NNAP24,-99.2923996,19.3019313,PNDL,ozone,10_40%,24,-99.2923996,19.3019313
B89_NNAP25,-99.2912672,19.3068419,PNDL,healthy,0%,25,-99.2912672,19.3068419
B96_N15P33,-99.2992479,19.2989612,PNDL,healthy,0%,33,-99.2992479,19.2989612
C101_N08P37,-99.3161757,19.2836036,PNDL,ozone,40_70%,37,-99.3165321,19.2838672
C122_NNAP44,-99.3172017,19.2891165,PNDL,ozone,40_70%,44,-99.3172017,19.2891165
C17_N5P6,-99.2988251,19.292589,PNDL,healthy,0%,6,-99.2989653,19.2924916
C36_N06P12,-99.3062656,19.291341,PNDL,ozone,10%,12,-99.3060372,19.2912656
C64_N09P29,-99.2983218,19.302132,PNDL,ozone,40_70%,29,-99.2983218,19.302132
D142_N14P38,-99.316151,19.2833335,PNDL,ozone,40_70%,38,-99.316151,19.2833335
D163_N18P43,-99.3166882,19.2899041,PNDL,ozone,40_70%,43,-99.3166882,19.2899041
D168_N19P47,-99.2952765,19.2925075,PNDL,ozone,40_70%,47,-99.2952765,19.2925075
D17_N10P4,-99.2990785,19.2923541,PNDL,healthy,0%,4,-99.2990785,19.2923541
D172_N10P48,-99.2949421,19.2925917,PNDL,ozone,40_70%,48,-99.2949421,19.2925917
D32_N9P7,-99.3030406,19.2898034,PNDL,healthy,0%,7,-99.3030406,19.2898034
D64_N18P18,-99.3020576,19.28544,PNDL,ozone,40_70%,18,-99.3020576,19.28544
D65_N7P18,-99.3021961,19.2854915,PNDL,healthy,0%,18,-99.3020576,19.28544
D66_N10P19,-99.3048456,19.2864665,PNDL,ozone,40_70%,19,-99.3048456,19.2864665
D70_N09P19,-99.3048588,19.2865152,PNDL,ozone,40_70%,19,-99.3048456,19.2864665
D72_N13P19,-99.3047682,19.2866842,PNDL,ozone,40_70%,19,-99.3048456,19.2864665
D73_N7P19,-99.3048482,19.2864851,PNDL,ozone,40_70%,19,-99.3048456,19.2864665
D76_N12P20,-99.3046597,19.2867398,PNDL,ozone,40_70%,20,-99.3046597,19.2867398
D88_NNAP28,-99.2977118,19.3020569,PNDL,ozone,10%,28,-99.2977118,19.3020569
E166NNAP38,-99.3161,19.2833214,PNDL,ozone,10%,38,-99.316151,19.2833335
E174_N8P38,-99.3161053,19.2833253,PNDL,ozone,10_40%,38,-99.316151,19.2833335
E191_NNAP43,-99.3165276,19.2897213,PNDL,ozone,10_40%,43,-99.3166882,19.2899041
E192_NNAP43,-99.3166797,19.2895778,PNDL,ozone,10_40%,43,-99.3166882,19.2899041
E31_N5P8,-99.3030493,19.2904434,PNDL,ozone,10%,8,-99.3030493,19.2904434
E47_N11P11,-99.306521,19.2907778,PNDL,ozone,10%,11,-99.306521,19.2907778
E48_N8P11,-99.3067448,19.2908673,PNDL,ozone,10%,11,-99.306521,19.2907778
E51_N11P15,-99.3070285,19.2930415,PNDL,ozone,10%,15,-99.3070285,19.2930415
E66_N14P20,-99.3047379,19.2868019,PNDL,ozone,10%,20,-99.3046597,19.2867398
E67_NNAP22,-99.2920197,19.3021163,PNDL,ozone,10%,22,-99.2920197,19.3021163
E77_NNAP28,-99.2977593,19.3021696,PNDL,ozone,10%,28,-99.2977118,19.3020569
E83_N13P29,-99.2984563,19.3022668,PNDL,ozone,10%,29,-99.2983218,19.302132
E89_N16P29,-99.2984035,19.3021043,PNDL,ozone,0%,29,-99.2983218,19.302132
F100_N10P32,-99.3003013,19.2980573,PNDL,healthy,0%,32,-99.3003013,19.2980573
F101_N9P32,-99.3002656,19.2980364,PNDL,healthy,0%,32,-99.3003013,19.2980573
F108_N8P32,-99.3002967,19.2981488,PNDL,ozone,10_40%,32,-99.3003013,19.2980573
F109_N11P32,-99.3002768,19.2979713,PNDL,ozone,10_40%,32,-99.3003013,19.2980573
F111_N11P32,-99.3001948,19.2980324,PNDL,healthy,0%,32,-99.3003013,19.2980573
F123_N6P41,-99.3081016,19.2749204,PNDL,ozone,10_40%,41,-99.3081016,19.2749204
F131_N11P43,-99.3165553,19.2902867,PNDL,ozone,40_70%,43,-99.3166882,19.2899041
F134_NNAP48,-99.2949928,19.2926351,PNDL,healthy,0%,48,-99.2949421,19.2925917
F138_N07P48,-99.2946476,19.2925361,PNDL,healthy,0%,48,-99.2949421,19.2925917
F139_N05P48,-99.2946342,19.2923969,PNDL,other,0%,48,-99.2949421,19.2925917
F18_N14P4,-99.2993025,19.292189,PNDL,healthy,0%,4,-99.2990785,19.2923541
F67_N9P18,-99.30209699,19.2853769,PNDL,ozone,40_70%,18,-99.3020576,19.28544
F68_N7P18,-99.30209133,19.28542492,PNDL,ozone,10_40%,18,-99.3020576,19.28544
F73_N13P19,-99.3047785,19.2865924,PNDL,ozone,10_40%,19,-99.3048456,19.2864665
F84_NNAP28,-99.297801,19.301972,PNDL,healthy,0%,28,-99.2977118,19.3020569
F85_NNAP28,-99.2977717,19.302046,PNDL,healthy,0%,28,-99.2977118,19.3020569
F9_N4P1,-99.2991607,19.2903079,PNDL,ozone,10%,1,-99.2991607,19.2903079
G101_NNAP33,-99.29926774,19.29892206,PNDL,ozone,10%,33,-99.2992479,19.2989612
G102_NNAP33,-99.29926942,19.29892167,PNDL,healthy,0%,33,-99.2992479,19.2989612
G104_N7P33,-99.29934522,19.29886253,PNDL,ozone,10_40%,33,-99.2992479,19.2989612
G114_N7P35,-99.31923593,19.29556527,PNDL,ozone,10%,35,-99.31923593,19.29556527
G12_NNAP5,-99.3191856,19.2958901,PNDL,healthy,0%,5,-99.3191856,19.2958901
G148_N6P41,-99.30865388,19.27366991,PNDL,healthy,0%,41,-99.3081016,19.2749204
G16_N6P5,-99.2993312,19.2928564,PNDL,healthy,0%,5,-99.3191856,19.2958901
G162_NNAP48,-99.2948839,19.29290939,PNDL,ozone,10%,48,-99.2949421,19.2925917
G163_NNAP48,-99.29488503,19.29285543,PNDL,ozone,10%,48,-99.2949421,19.2925917
