Column1,categoria
AE01_N04TAF,AE
AE02_N04TAF,AE
AE05_N04TAF,AE
AE06_N04TAF,AE
AE08_N04TAF,AE
AE10_N04TAF,AE
AE12_N04TAF,AE
AE13_N04TAF,AE
AE14_N04TAF,AE
AE15_N04TAF,AE
AE16_N04TAF,AE
AE18_N04TAF,AE
AE19_N04TAF,AE
AE22_N04TAF,AE
AE23_N04TAF,AE
AE24_N04TAF,AE
AE25_N04TAF,AE
AE28_N04TAF,AE
AE29_N04TAF,AE
AP01_N04TAF,AP
AP02_N04TAF,AP
AP03_N04TAF,AP
AP05_N04TAF,AP
AP09_N04TAF,AP
AP10_N04TAF,AP
AP11_N04TAF,AP
AP12_N04TAF,AP
AP13_N04TAF,AP
AP14_N04TAF,AP
AP16_N04TAF,AP
AP17_N04TAF,AP
AP20_N04TAF,AP
AP22_N04TAF,AP
AP25_N04TAF,AP
AP26_N04TAF,AP
AP27_N04TAF,AP
AP29_N04TAF,AP
AP30_N04TAF,AP
AX03_N04TAF,AX
AX05_N04TAF,AX
AX07_N04TAF,AX
AX08_N04TAF,AX
AX09_N04TAF,AX
AX10_N04TAF,AX
AX12_N04TAF,AX
AX13_N04TAF,AX
AX14_N04TAF,AX
AX15_N04TAF,AX
AX16_N04TAF,AX
AX17_N04TAF,AX
AX19_N04TAF,AX
AX21_N04TAF,AX
AX22_N04TAF,AX
AX25_N04TAF,AX
AX26_N04TAF,AX
AX27_N04TAF,AX
AX28_N04TAF,AX
CA03_N04TAF,CA
CA04_N04TAF,CA
CA06_N04TAF,CA
CA07_N04TAF,CA
CA09_N04TAF,CA
CA10_N04TAF,CA
CA10r_N04TAF,CA
CA11_N04TAF,CA
CA14_N04TAF,CA
CA16_N04TAF,CA
CA17_N04TAF,CA
CA18_N04TAF,CA
CA19_N04TAF,CA
CA21_N04TAF,CA
CA22_N04TAF,CA
CA25_N04TAF,CA
CA27_N04TAF,CA
CA28_N04TAF,CA
CA29_N04TAF,CA
CA30_N04TAF,CA
CC01_N04TAF,CC
CC02_N04TAF,CC
CC03_N04TAF,CC
CC07_N04TAF,CC
CC09_N04TAF,CC
CC10_N04TAF,CC
CC11_N04TAF,CC
CC13_N04TAF,CC
CC15_N04TAF,CC
CC16_N04TAF,CC
CC17_N04TAF,CC
CC20_N04TAF,CC
CC21_N04TAF,CC
CC23_N04TAF,CC
CC24_N04TAF,CC
CC26_N04TAF,CC
CC26r_N04TAF,CC
CC27_N04TAF,CC
CC29_N04TAF,CC
CC30_N04TAF,CC
A10_N07P06,40_70%
A102_N11P37,40_70%
A115_N12P40,10%
A122_N03P40,0%
A131_N10P46,0%
A135_N08P46,10%
A18_N7P6,0%
A19_N5P6,0%
A22_N09p09,0%
A27_N8P9,0%
A34_NNAP12,10_40%
A38_N5P12,0%
A44_N10P14,0%
A82_N15P36,40_70%
B103_N11P34,0%
B109_N05P34,0%
B113_N05P34,0%
B122_N12P39,0%
B84_NNAP24,10_40%
B89_NNAP25,0%
B96_N15P33,0%
C101_N08P37,40_70%
C122_NNAP44,40_70%
C17_N5P6,0%
C36_N06P12,10%
C64_N09P29,40_70%
D142_N14P38,40_70%
D163_N18P43,40_70%
D168_N19P47,40_70%
D17_N10P4,0%
D172_N10P48,40_70%
D32_N9P7,0%
D64_N18P18,40_70%
D65_N7P18,0%
D66_N10P19,40_70%
D70_N09P19,40_70%
D72_N13P19,40_70%
D73_N7P19,40_70%
D76_N12P20,40_70%
D88_NNAP28,10%
E166NNAP38,10%
E174_N8P38,10_40%
E191_NNAP43,10_40%
E192_NNAP43,10_40%
E31_N5P8,10%
E47_N11P11,10%
E48_N8P11,10%
E51_N11P15,10%
E66_N14P20,10%
E67_NNAP22,10%
E77_NNAP28,10%
E83_N13P29,10%
E89_N16P29,0%
F100_N10P32,0%
F101_N9P32,0%
F108_N8P32,10_40%
F109_N11P32,10_40%
F111_N11P32,0%
F123_N6P41,10_40%
F131_N11P43,40_70%
F134_NNAP48,0%
F138_N07P48,0%
F139_N05P48,0%
F18_N14P4,0%
F67_N9P18,40_70%
F68_N7P18,10_40%
F73_N13P19,10_40%
F84_NNAP28,0%
F85_NNAP28,0%
F9_N4P1,10%
G101_NNAP33,10%
G102_NNAP33,0%
G104_N7P33,10_40%
G114_N7P35,10%
G12_NNAP5,0%
G148_N6P41,0%
G16_N6P5,0%
G162_NNAP48,10%
G163_NNAP48,10%
G164_N17P48,0%
G22_N9P5,0%
G25_N6P5,10%
G43_N8P11,0%
G52_N11P15,10_40%
G53_N16P15,10_40%
G60_N06P17,0%
G63_N7P20,0%
G85_N11P30,10%
G87_N13P30,10_40%
G89_N11P30,0%
H11_N5P6,10%
H124_N05P37,0%
H141_N14P40,0%
H143_N18P40,0%
H147_N07P40,40_70%
H148_N05P40,0%
H154_N11P44,40_70%
H162_N16P46,0%
H18_N13P6,10%
H19_N7P6,10%
H22_N6P6,0%
H25_N5P6,0%
H30_N9P9,10%
H31_N5P9,10%
H38_NNAP09,10_40%
H42_N4P12,10%
H49_N5P12,10%
H53_N6P12,10_40%
H65_NNAP16,10_40%
H79_N4P29,10%
H8_N6P6,10%
I108_N5P34,10%
I111_NNAP39,10%
I15_N13P6,10_40%
I58_N12P21,0%
I6_N5P6,10_40%
I61_N9P21,10%
I65_N23P24,10_40%
I71_NNAP25,10_40%
I74_N14P29,0%
I79_N11P29,10%
I8_N5P6,10%
I81_N13P29,10%
I93_N05P31,0%
I96_N10P34,10_40%
J136_NNAP46,0%
J33_N04P10,10_40%
J35_N05P10,0%
J62_NNAP18,0%
J71_N8P19,10%
J75_N06P20,10%
J89_NNAP28,10%
J90_NNAP28,0%
J91_NNAP28,10%
J92_NNAP28,0%
K10_N3P3,0%
K100_N12P33,0%
K103_N14P33,0%
K104_N03P42,0%
K11_N4P1,0%
K118_NNAP45,0%
K121_N11P47,0%
K122_N10P47,0%
K124_N13P48,0%
K125_N11P48,0%
K14_NNAP5,10%
K23_N8P5,10_40%
K25_N15P5,10%
K29_N7P8,0%
K30_N11P08,0%
K41_N14P11,10_40%
K45_NNAP11,0%
K49_N13P11,10_40%
K51_N14P11,0%
K52_N11P11,10_40%
K56_N16P15,0%
K6_N3P3,10_40%
K62_N09P17,40_70%
K63_N7P17,10_40%
K69_N10P20,0%
K7_N03P03,0%
K70_N9P20,0%
K71_N12P20,0%
K72_N06P20,0%
K74_NNAP23,0%
K88_N4P30,0%
K94_N08P29,0%
K96_N13P33,0%
K98_N12P33,10_40%
K99_N10P33,10%
L101_N5P41,0%
L16_N11P05,0%
L76_N5P30,0%
L88_N9P33,10_40%
M12_NNAP14,0%
M13_NNAP20,10_40%
M18_N13P29,0%
M19_N13P32,10%
M2_N5P9,0%
M26_NNAP34,40_70%
M29_N15P34,0%
M30_N12P34,0%
M33_N16P39,0%
M35_N10P39,0%
M39_N13P42,0%
M6_NNAP9,0%
PP1_NNAP1,0%
PP3_NNAP01,10%
PP4_NNAP1,0%
PP5_NNAP1,0%
