id,pop
A10_N07P06,PNDL
A102_N11P37,PNDL
A115_N12P40,PNDL
A122_N03P40,PNDL
A131_N10P46,PNDL
A135_N08P46,PNDL
A18_N7P6,PNDL
A19_N5P6,PNDL
A22_N09p09,PNDL
A27_N8P9,PNDL
A34_NNAP12,PNDL
A38_N5P12,PNDL
A44_N10P14,PNDL
A82_N15P36,PNDL
B103_N11P34,PNDL
B109_N05P34,PNDL
B113_N05P34,PNDL
B122_N12P39,PNDL
B84_NNAP24,PNDL
B89_NNAP25,PNDL
B96_N15P33,PNDL
C101_N08P37,PNDL
C122_NNAP44,PNDL
C17_N5P6,PNDL
C36_N06P12,PNDL
C64_N09P29,PNDL
D142_N14P38,PNDL
D163_N18P43,PNDL
D168_N19P47,PNDL
D17_N10P4,PNDL
D172_N10P48,PNDL
D32_N9P7,PNDL
D64_N18P18,PNDL
D65_N7P18,PNDL
D66_N10P19,PNDL
D70_N09P19,PNDL
D72_N13P19,PNDL
D73_N7P19,PNDL
D76_N12P20,PNDL
D88_NNAP28,PNDL
E166NNAP38,PNDL
E174_N8P38,PNDL
E191_NNAP43,PNDL
E192_NNAP43,PNDL
E31_N5P8,PNDL
E47_N11P11,PNDL
E48_N8P11,PNDL
E51_N11P15,PNDL
E66_N14P20,PNDL
E67_NNAP22,PNDL
E77_NNAP28,PNDL
E83_N13P29,PNDL
E89_N16P29,PNDL
F100_N10P32,PNDL
F101_N9P32,PNDL
F108_N8P32,PNDL
F109_N11P32,PNDL
F111_N11P32,PNDL
F123_N6P41,PNDL
F131_N11P43,PNDL
F134_NNAP48,PNDL
F138_N07P48,PNDL
F139_N05P48,PNDL
F18_N14P4,PNDL
F67_N9P18,PNDL
F68_N7P18,PNDL
F73_N13P19,PNDL
F84_NNAP28,PNDL
F85_NNAP28,PNDL
F9_N4P1,PNDL
G101_NNAP33,PNDL
G102_NNAP33,PNDL
G104_N7P33,PNDL
G114_N7P35,PNDL
G12_NNAP5,PNDL
G148_N6P41,PNDL
G16_N6P5,PNDL
G162_NNAP48,PNDL
G163_NNAP48,PNDL
G164_N17P48,PNDL
G22_N9P5,PNDL
G25_N6P5,PNDL
G43_N8P11,PNDL
G52_N11P15,PNDL
G53_N16P15,PNDL
G60_N06P17,PNDL
G63_N7P20,PNDL
G85_N11P30,PNDL
G87_N13P30,PNDL
G89_N11P30,PNDL
H11_N5P6,PNDL
H124_N05P37,PNDL
H141_N14P40,PNDL
H147_N07P40,PNDL
H148_N05P40,PNDL
H154_N11P44,PNDL
H162_N16P46,PNDL
H18_N13P6,PNDL
H19_N7P6,PNDL
H22_N6P6,PNDL
H25_N5P6,PNDL
H30_N9P9,PNDL
H31_N5P9,PNDL
H38_NNAP09,PNDL
H42_N4P12,PNDL
H49_N5P12,PNDL
H53_N6P12,PNDL
H65_NNAP16,PNDL
H79_N4P29,PNDL
H8_N6P6,PNDL
I108_N5P34,PNDL
I111_NNAP39,PNDL
I15_N13P6,PNDL
I58_N12P21,PNDL
I6_N5P6,PNDL
I61_N9P21,PNDL
I65_N23P24,PNDL
I71_NNAP25,PNDL
I74_N14P29,PNDL
I79_N11P29,PNDL
I8_N5P6,PNDL
I81_N13P29,PNDL
I93_N05P31,PNDL
I96_N10P34,PNDL
J136_NNAP46,PNDL
J33_N04P10,PNDL
J35_N05P10,PNDL
J62_NNAP18,PNDL
J71_N8P19,PNDL
J75_N06P20,PNDL
J89_NNAP28,PNDL
J90_NNAP28,PNDL
J91_NNAP28,PNDL
J92_NNAP28,PNDL
K10_N3P3,PNDL
K100_N12P33,PNDL
K103_N14P33,PNDL
K104_N03P42,PNDL
K11_N4P1,PNDL
K121_N11P47,PNDL
K122_N10P47,PNDL
K124_N13P48,PNDL
K125_N11P48,PNDL
K14_NNAP5,PNDL
K23_N8P5,PNDL
K25_N15P5,PNDL
K29_N7P8,PNDL
K30_N11P08,PNDL
K41_N14P11,PNDL
K45_NNAP11,PNDL
K49_N13P11,PNDL
K51_N14P11,PNDL
K52_N11P11,PNDL
K56_N16P15,PNDL
K6_N3P3,PNDL
K62_N09P17,PNDL
K63_N7P17,PNDL
K69_N10P20,PNDL
K7_N03P03,PNDL
K70_N9P20,PNDL
K71_N12P20,PNDL
K72_N06P20,PNDL
K74_NNAP23,PNDL
K88_N4P30,PNDL
K94_N08P29,PNDL
K96_N13P33,PNDL
K98_N12P33,PNDL
K99_N10P33,PNDL
L101_N5P41,PNDL
L16_N11P05,PNDL
L76_N5P30,PNDL
L88_N9P33,PNDL
M12_NNAP14,PNDL
M13_NNAP20,PNDL
M18_N13P29,PNDL
M19_N13P32,PNDL
M2_N5P9,PNDL
M26_NNAP34,PNDL
M29_N15P34,PNDL
M30_N12P34,PNDL
M33_N16P39,PNDL
M35_N10P39,PNDL
M39_N13P42,PNDL
M6_NNAP9,PNDL
PP1_NNAP1,PNDL
PP2_NNAP1,PNDL
PP3_NNAP01,PNDL
PP4_NNAP1,PNDL
PP5_NNAP1,PNDL
H143_N18P40,PNDL
K118_NNAP45,PNDL
