id ,placa
G89_N11P30,placa1
E51_N11P15,placa1
I97_N11P34,placa1
G12_NNAP5,placa1
K99_N10P33,placa1
H16_N9P6,placa1
H42_N4P12,placa1
I6_N5P6,placa1
I74_N14P29,placa1
I15_N13P6,placa1
D23_N5P4,placa1
G101_NNAP33,placa1
J91_NNAP28,placa1
VS4_NNAPNA,placa1
F104_N8P32,placa1
E66_N14P20,placa1
G52_N11P15,placa1
J89_NNAP28,placa1
H19_N7P6,placa1
VD4_NNAPNA,placa1
I8_N5P6,placa1
I58_N12P21,placa1
G114_N7P35,placa1
K121_N11P47,placa1
B103r_N11P34,placa1
K96_N13P33,placa1
K69_N10P20,placa1
F66_N8P13,placa1
G104_N7P33,placa1
H94_N9P31,placa1
D1_N7P1,placa1
F100_N10P32,placa1
K103_N14P33,placa1
F18_N14P4,placa1
G102_NNAP33,placa1
K51_N14P11,placa1
D73_N7P19,placa1
G92_N12P29,placa1
K41_N14P11,placa1
F109_N11P32,placa1
F85_NNAP28,placa1
H22_N6P6,placa1
B105_N5P34,placa1
K49_N13P11,placa1
M6_NNAP9,placa1
D88_NNAP28,placa1
G25_N6P5,placa1
K11r_N4P1,placa1
K11_N4P1,placa1
A131_N10P46,placa1
E17_N6P5,placa1
VD2_NNAPNA,placa1
PP2_NNAP1,placa1
G162_NNAP48,placa1
G110_N6P35,placa1
A38_N5P12,placa1
C5_N9P2,placa1
G53_N16P15,placa1
D168_N19P47,placa1
M29_N15P34,placa1
I54_N11P16,placa1
K14_NNAP5,placa1
F84_NNAP28,placa1
D64_N18P18,placa1
D127_N6P35,placa1
F68_N7P18,placa1
J53_N4P13,placa1
M2_N5P9,placa1
K88_N4P30,placa1
G118_N7P35,placa1
F101_N9P32,placa1
E4_N8P3,placa1
D4_N7P1,placa1
A1_N10P2,placa1
G137_N11P38,placa1
C17_N5P6,placa1
K122_N10P47,placa1
G87_N13P30,placa1
G34_N5P8,placa1
H17_N10P6,placa1
K52_N11P11,placa1
F111_N11P32,placa1
I71_NNAP25,placa1
K56_N16P15,placa1
I12_N10P6,placa1
G134_N9P38,placa1
J92_NNAP28,placa1
G85_N11P30,placa1
G126_N13P38,placa1
D17_N10P4,placa1
A19_N5P6,placa1
K63_N7P17,placa1
G124_N7P35,placa1
F67_N9P18,placa1
H8_N6P6,placa1
Blanco01,placa1
D65_N7P18,placa2
E22_N6P5,placa2
PP1_NNAP1,placa2
G148_N6P41,placa2
H30_N9P9,placa2
M18_N13P29,placa2
I81_N13P29,placa2
H25_N5P6,placa2
G4_N10P3,placa2
K98_N12P33,placa2
F33_N8P7,placa2
K124_N13P48,placa2
J71_N8P19,placa2
C3_N9P2,placa2
J136_NNAP46,placa2
F73_N13P19,placa2
H162_N16P46,placa2
K6_N3P3,placa2
G22_N9P5,placa2
G142_N8P38,placa2
H5_N10P2,placa2
H141_N14P40,placa2
M33_N16P39,placa2
J57_N6P13,placa2
K125_N11P48,placa2
L101_N5P41,placa2
B103_N11P34,placa2
H2_N9P2,placa2
G115_N7P35,placa2
PP4r_NNAP1,placa2
T15_NNAPNA,placa2
K23_N8P5,placa2
PP4_NNAP1,placa2
H11_N5P6,placa2
G99_N11P29,placa2
I79_N11P29,placa2
H18_N13P6,placa2
G43_N8P11,placa2
I14_N8P6,placa2
M2r_N5P9,placa2
B122_N12P39,placa2
I108_N5P34,placa2
H79_N4P29,placa2
A34_NNAP12,placa2
K25_N15P5,placa2
B96_N15P33,placa2
F2_N8P1,placa2
K100_N12P33,placa2
E31_N5P8,placa2
H49_N5P12,placa2
M39_N13P42,placa2
K45_NNAP11,placa2
H53_N6P12,placa2
K1_N8P3,placa2
G163_NNAP48,placa2
J11_N5P4,placa2
G129_N8P38,placa2
B112_N9P34,placa2
K10_N3P3,placa2
G93_N12P29,placa2
H3_N9P2,placa2
T14_NNAPNA,placa2
L88_N9P33,placa2
M30_N12P34,placa2
F123_N6P41,placa2
F9_N4P1,placa2
L76_N5P30,placa2
D142_N14P38,placa2
E174_N8P38,placa2
H20_N8P6,placa2
G16_N6P5,placa2
I16_N8P6,placa2
PP5_NNAP1,placa2
E48_N8P11,placa2
K70_N9P20,placa2
A18_N7P6,placa2
G103_N7P33,placa2
K29_N7P8,placa2
G63_N7P20,placa2
A4_N8P2,placa2
D32_N9P7,placa2
VD3_NNAPNA,placa2
F134_NNAP48,placa2
I61_N9P21,placa2
F108_N8P32,placa2
A27_N8P9,placa2
D76_N12P20,placa2
G164_N17P48,placa2
B89_NNAP25,placa2
M19_N13P32,placa2
D172_N10P48,placa2
K71_N12P20,placa2
F3_N8P1,placa2
E47_N11P11,placa2
H31_N5P9,placa2
Blanco_02,placa2
Blank_03,placa3
CA04_N04TAF,placa3
E67_NNAP22,placa3
I65_N23P24,placa3
F131_N11P43,placa3
G3_N08P03,placa3
VD04_1516,placa3
E192_NNAP43,placa3
AE15_N04TAF,placa3
AP05_N04TAF,placa3
CA06_N04TAF,placa3
VS04_1516,placa3
E77_NNAP28,placa3
AX12_N04TAF,placa3
CA18_N04TAF,placa3
CC07_N04TAF,placa3
AMP08r_NNAPNA,placa3
AP14_N04TAF,placa3
AP22_N04TAF,placa3
AP16_N04TAF,placa3
D7_N08P01,placa3
M35_N10P39,placa3
I83_N09P31,placa3
M13_NNAP20,placa3
AE23_N04TAF,placa3
VS03_1516,placa3
G112_N07P35,placa3
CC01_N04TAF,placa3
AX27_N04TAF,placa3
CC13_N04TAF,placa3
AMP01_NNAPNA,placa3
CA30_N04TAF,placa3
B109_N05P34,placa3
C64_N09P29,placa3
K94_N08P29,placa3
AP26_N04TAF,placa3
E89_N16P29,placa3
I5_N10P02,placa3
J81_N03P27,placa3
CC23_N04TAF,placa3
J90_NNAP28,placa3
CA03_N04TAF,placa3
CA07_N04TAF,placa3
AE19_N04TAF,placa3
CC29_N04TAF,placa3
CA09_N04TAF,placa3
D66_N10P19,placa3
AMP03_NNAPNA,placa3
AP25_N04TAF,placa3
D70_N09P19,placa3
AMP07_NNAPNA,placa3
AE24_N04TAF,placa3
CA29_N04TAF,placa3
F4_N08P01,placa3
AMP05_NNAPNA,placa3
E191_NNAP43,placa3
B113_N05P34,placa3
CC02_N04TAF,placa3
AE06_N04TAF,placa3
AX07_N04TAF,placa3
AX26_N04TAF,placa3
VS01_1516,placa3
VS05_1516,placa3
