"","x"
"1","4:19"
"2","34:5"
"3","34:11"
"4","38:145"
"5","56:121"
"6","56:130"
"7","91:65"
"8","91:145"
"9","104:151"
"10","133:41"
"11","145:45"
"12","202:90"
"13","236:172"
"14","257:75"
"15","290:56"
"16","290:98"
"17","290:103"
"18","290:131"
"19","337:148"
"20","360:43"
"21","362:125"
"22","392:117"
"23","393:183"
"24","411:125"
"25","421:125"
"26","458:57"
"27","458:138"
"28","458:153"
"29","543:76"
"30","568:55"
"31","589:32"
"32","589:61"
"33","589:62"
"34","589:73"
"35","589:83"
"36","616:144"
"37","619:72"
"38","619:112"
"39","619:143"
"40","634:169"
"41","650:132"
"42","650:141"
"43","651:104"
"44","662:115"
"45","664:23"
"46","664:42"
"47","685:61"
"48","693:76"
"49","693:114"
"50","769:101"
"51","785:67"
"52","785:204"
"53","843:200"
"54","848:74"
"55","848:129"
"56","910:74"
"57","920:106"
"58","920:162"
"59","1023:221"
"60","1031:163"
"61","1056:19"
"62","1060:65"
"63","1066:113"
"64","1084:34"
"65","1087:30"
"66","1087:42"
"67","1087:106"
"68","1087:137"
"69","1087:169"
"70","1087:171"
"71","1087:174"
"72","1124:153"
"73","1124:168"
"74","1147:44"
"75","1190:178"
"76","1272:46"
"77","1273:175"
"78","1273:178"
"79","1385:11"
"80","1407:5"
"81","1407:102"
"82","1417:45"
"83","1417:59"
"84","1417:117"
"85","1432:47"
"86","1432:48"
"87","1432:58"
"88","1432:121"
"89","1458:134"
"90","1483:54"
"91","1483:57"
"92","1483:81"
"93","1517:133"
"94","1664:30"
"95","1664:32"
"96","1664:55"
"97","1664:150"
"98","1664:168"
"99","1664:203"
"100","1676:97"
"101","1772:144"
"102","1837:224"
"103","1840:138"
"104","1929:151"
"105","1929:174"
"106","1929:185"
"107","1929:186"
"108","1941:142"
"109","1941:170"
"110","1941:177"
"111","1941:192"
"112","1953:42"
"113","1965:171"
"114","1978:254"
"115","1983:158"
"116","2030:76"
"117","2126:33"
"118","2136:158"
"119","2178:104"
"120","2208:134"
"121","2227:191"
"122","2236:16"
"123","2248:16"
"124","2248:18"
"125","2285:75"
"126","2292:38"
"127","2375:222"
"128","2378:89"
"129","2386:45"
"130","2386:83"
"131","2386:158"
"132","2387:21"
"133","2387:163"
"134","2399:64"
"135","2410:96"
"136","2410:114"
"137","2457:95"
"138","2521:80"
"139","2578:123"
"140","2616:70"
"141","2647:91"
"142","2662:146"
"143","2677:24"
"144","2677:39"
"145","2677:40"
"146","2677:93"
"147","2677:106"
"148","2677:113"
"149","2677:155"
"150","2699:16"
"151","2710:48"
"152","2710:73"
"153","2710:81"
"154","2710:118"
"155","2767:9"
"156","2767:65"
"157","2767:145"
"158","2767:189"
"159","2780:168"
"160","2780:173"
"161","2780:211"
