"","x"
"1","2966:63"
"2","7811:162"
"3","10648:83"
"4","11267:157"
"5","14899:81"
"6","31463:33"
"7","32889:143"
"8","33032:137"
"9","44353:11"
"10","45570:47"
"11","48652:20"
"12","54674:102"
"13","150791:20"
"14","569519:22"
"15","688550:17"
"16","716142:117"
"17","5969:207"
"18","10259:209"
"19","18372:47"
"20","19137:10"
"21","21163:26"
"22","23973:13"
"23","26938:80"
"24","27073:11"
"25","27303:166"
"26","29062:191"
"27","31793:117"
"28","34832:30"
"29","35761:75"
"30","39477:34"
"31","45729:66"
"32","53139:29"
"33","55776:93"
"34","58057:153"
"35","65287:28"
"36","69806:65"
"37","71659:164"
"38","73060:120"
"39","588646:156"
"40","668366:60"
"41","688340:138"
"42","738720:157"
"43","744663:49"
"44","885703:28"
"45","927328:5"
"46","993787:99"
"47","1083479:212"
"48","6133:63"
"49","9356:53"
"50","12480:182"
"51","21294:66"
"52","23766:63"
"53","24628:199"
"54","25019:37"
"55","25954:252"
"56","34816:144"
"57","37399:208"
"58","39675:21"
"59","43061:130"
"60","43841:82"
"61","46613:162"
"62","53161:88"
"63","59268:156"
"64","69436:120"
"65","328682:129"
"66","331297:9"
"67","631078:109"
"68","727471:5"
"69","872095:53"
"70","981025:56"
"71","1644:22"
"72","3705:82"
"73","13489:96"
"74","14794:17"
"75","19730:21"
"76","28916:84"
"77","30790:24"
"78","30790:127"
"79","36520:139"
"80","41931:85"
"81","55646:122"
"82","59237:79"
"83","59580:21"
"84","65733:132"
"85","546680:107"
"86","595363:91"
"87","892686:69"
"88","967507:8"
"89","8271:178"
"90","10613:66"
"91","12191:75"
"92","19566:99"
"93","27140:82"
"94","34439:28"
"95","45516:65"
"96","45516:181"
"97","45586:165"
"98","56464:64"
"99","60861:233"
"100","65803:42"
"101","829656:57"
"102","75825:143"
"103","1941:141"
"104","26173:180"
"105","31581:113"
"106","62865:16"
"107","332039:18"
"108","582515:150"
"109","670956:114"
"110","2313:86"
"111","22292:42"
"112","570245:146"
"113","4727:72"
"114","378990:32"
"115","2227:151"
"116","11417:46"
"117","23278:9"
"118","33828:68"
"119","34524:167"
"120","39650:167"
"121","63742:75"
"122","72448:100"
"123","768076:146"
"124","816278:35"
"125","66275:223"
"126","953684:31"
"127","993535:137"
"128","1043913:5"
"129","3985:89"
"130","29170:105"
"131","32182:158"
"132","39217:63"
"133","60392:263"
"134","881025:23"
"135","5418:101"
"136","28587:23"
"137","842498:143"
"138","858723:55"
"139","17665:40"
"140","57635:75"
"141","22800:127"
"142","299190:64"
"143","4181:58"
"144","7389:27"
"145","24786:73"
"146","35563:49"
"147","70576:19"
"148","70833:155"
"149","890973:213"
