"","x"
"1","966:164"
"2","8410:200"
"3","8567:170"
"4","10324:162"
"5","10846:146"
"6","11267:157"
"7","17163:158"
"8","19045:150"
"9","20910:109"
"10","21377:195"
"11","24878:190"
"12","26160:209"
"13","27073:11"
"14","29062:191"
"15","29883:154"
"16","31427:172"
"17","31463:33"
"18","33331:148"
"19","35047:82"
"20","35761:75"
"21","38259:34"
"22","48969:20"
"23","66756:134"
"24","70049:195"
"25","75297:65"
"26","611177:22"
"27","632209:156"
"28","766572:117"
"29","812834:32"
"30","838497:7"
"31","861439:173"
"32","872889:221"
"33","942324:158"
"34","130:144"
"35","5969:207"
"36","8410:53"
"37","9356:53"
"38","11450:188"
"39","11764:159"
"40","18372:47"
"41","19137:10"
"42","21792:160"
"43","23273:5"
"44","23973:13"
"45","24958:208"
"46","27122:157"
"47","30128:150"
"48","31793:117"
"49","55479:93"
"50","57599:202"
"51","60973:153"
"52","70281:129"
"53","77638:164"
"54","79749:44"
"55","354894:150"
"56","675800:109"
"57","791806:160"
"58","942324:28"
"59","947920:165"
"60","989450:5"
"61","1058614:99"
"62","1158434:212"
"63","1158605:166"
"64","890:146"
"65","1644:22"
"66","2336:87"
"67","6881:9"
"68","8023:29"
"69","8116:19"
"70","12480:182"
"71","13430:20"
"72","13508:146"
"73","18459:243"
"74","19275:168"
"75","19730:21"
"76","25019:37"
"77","25954:252"
"78","31427:69"
"79","32828:188"
"80","34816:144"
"81","38456:21"
"82","44611:79"
"83","51001:52"
"84","53226:181"
"85","54413:88"
"86","62607:156"
"87","74180:120"
"88","349357:154"
"89","352447:55"
"90","353172:9"
"91","595901:107"
"92","638636:91"
"93","778649:181"
"94","778656:5"
"95","1043951:56"
"96","742:67"
"97","3705:82"
"98","12191:75"
"99","64706:21"
"100","81174:64"
"101","674717:127"
"102","882914:57"
"103","10613:66"
"104","33201:223"
"105","36867:73"
"106","71174:49"
"107","1941:141"
"108","2313:86"
"109","31581:113"
"110","53188:9"
"111","82167:143"
"112","611859:146"
"113","718549:114"
"114","2624:169"
"115","11033:118"
"116","16454:54"
"117","19708:45"
"118","21400:89"
"119","22292:42"
"120","23278:9"
"121","26001:162"
"122","49670:32"
"123","56424:59"
"124","59808:218"
"125","66761:26"
"126","148889:36"
"127","875249:55"
"128","2227:151"
"129","4727:72"
"130","7226:78"
"131","12609:27"
"132","33828:68"
"133","34524:167"
"134","64283:71"
"135","406558:32"
"136","406558:158"
"137","1008207:18"
"138","651:228"
"139","3923:96"
"140","3985:89"
"141","12223:5"
"142","14436:86"
"143","23512:155"
"144","31849:14"
"145","53235:146"
"146","63225:210"
"147","74525:82"
"148","463041:183"
"149","1058382:137"
"150","16638:8"
"151","29170:105"
"152","38005:63"
"153","62898:61"
"154","63739:263"
"155","72894:67"
"156","17665:40"
"157","44649:49"
"158","60159:75"
"159","317304:64"
"160","9548:125"
"161","12245:11"
"162","950576:97"
"163","856480:79"
"164","950576:213"
