"","x"
"1","4:19"
"2","34:5"
"3","34:11"
"4","38:145"
"5","56:121"
"6","56:130"
"7","91:65"
"8","91:145"
"9","104:151"
"10","130:144"
"11","133:41"
"12","145:45"
"13","202:90"
"14","236:172"
"15","257:75"
"16","290:56"
"17","290:98"
"18","290:103"
"19","290:131"
"20","337:148"
"21","360:43"
"22","362:125"
"23","392:117"
"24","393:183"
"25","411:125"
"26","421:125"
"27","458:57"
"28","458:138"
"29","458:153"
"30","543:76"
"31","568:55"
"32","589:32"
"33","589:61"
"34","589:62"
"35","589:73"
"36","589:83"
"37","616:144"
"38","619:72"
"39","619:112"
"40","619:143"
"41","634:169"
"42","650:132"
"43","650:141"
"44","651:104"
"45","651:228"
"46","662:115"
"47","664:23"
"48","664:42"
"49","685:61"
"50","693:76"
"51","693:114"
"52","742:67"
"53","769:101"
"54","785:67"
"55","785:204"
"56","843:200"
"57","848:74"
"58","848:129"
"59","890:146"
"60","910:74"
"61","920:106"
"62","920:162"
"63","966:164"
"64","1023:221"
"65","1031:163"
"66","1056:19"
"67","1060:65"
"68","1066:113"
"69","1084:34"
"70","1087:30"
"71","1087:42"
"72","1087:106"
"73","1087:137"
"74","1087:169"
"75","1087:171"
"76","1087:174"
"77","1124:153"
"78","1124:168"
"79","1147:44"
"80","1190:178"
"81","1272:46"
"82","1273:175"
"83","1273:178"
"84","1385:11"
"85","1407:5"
"86","1407:102"
"87","1417:45"
"88","1417:59"
"89","1417:117"
"90","1432:47"
"91","1432:48"
"92","1432:58"
"93","1432:121"
"94","1458:134"
"95","1483:54"
"96","1483:57"
"97","1483:81"
"98","1517:133"
"99","1644:22"
"100","1664:30"
"101","1664:32"
"102","1664:55"
"103","1664:150"
"104","1664:168"
"105","1664:203"
"106","1676:97"
"107","1772:144"
"108","1837:224"
"109","1840:138"
"110","1929:151"
"111","1929:174"
"112","1929:185"
"113","1929:186"
"114","1941:141"
"115","1941:142"
"116","1941:170"
"117","1941:177"
"118","1941:192"
"119","1953:42"
"120","1965:171"
"121","1978:254"
"122","1983:158"
"123","2030:76"
"124","2126:33"
"125","2136:158"
"126","2178:104"
"127","2208:134"
"128","2227:151"
"129","2227:191"
"130","2236:16"
"131","2248:16"
"132","2248:18"
"133","2285:75"
"134","2292:38"
"135","2313:86"
"136","2336:87"
"137","2375:222"
"138","2378:89"
"139","2386:45"
"140","2386:83"
"141","2386:158"
"142","2387:21"
"143","2387:163"
"144","2399:64"
"145","2410:96"
"146","2410:114"
"147","2457:95"
"148","2521:80"
"149","2578:123"
"150","2616:70"
"151","2624:169"
"152","2647:91"
"153","2662:146"
"154","2677:24"
"155","2677:39"
"156","2677:40"
"157","2677:93"
"158","2677:106"
"159","2677:113"
"160","2677:155"
"161","2699:16"
"162","2710:48"
