"","x"
"1","2199:159"
"2","2567:69"
"3","3750:150"
"4","5791:168"
"5","6296:198"
"6","7675:151"
"7","7708:150"
"8","9451:208"
"9","9949:164"
"10","11644:148"
"11","11764:159"
"12","13735:175"
"13","13966:149"
"14","14825:145"
"15","15441:179"
"16","19045:150"
"17","20448:156"
"18","20750:216"
"19","20910:109"
"20","20933:151"
"21","21601:151"
"22","27412:174"
"23","28040:114"
"24","28785:194"
"25","28910:153"
"26","32977:161"
"27","34217:155"
"28","34592:161"
"29","35724:168"
"30","36171:42"
"31","36238:158"
"32","42097:161"
"33","57447:169"
"34","58381:174"
"35","61079:159"
"36","78994:97"
"37","82164:164"
"38","509299:150"
"39","598989:156"
"40","861439:173"
"41","952537:184"
"42","1006480:159"
"43","1042347:150"
"44","1049940:164"
"45","3594:155"
"46","4236:25"
"47","4236:135"
"48","7003:153"
"49","7355:108"
"50","8152:164"
"51","8410:53"
"52","8410:200"
"53","9182:160"
"54","9906:140"
"55","10651:156"
"56","12050:161"
"57","14537:155"
"58","19739:85"
"59","20701:148"
"60","23712:147"
"61","26679:147"
"62","46826:11"
"63","47309:62"
"64","47537:153"
"65","51270:217"
"66","55613:195"
"67","71024:151"
"68","81800:102"
"69","566276:193"
"70","870579:106"
"71","870644:39"
"72","874539:9"
"73","913418:6"
"74","938955:92"
"75","1022938:115"
"76","1058484:184"
"77","1065279:160"
"78","1609:128"
"79","4785:65"
"80","10665:199"
"81","18063:153"
"82","20954:97"
"83","24387:208"
"84","25413:147"
"85","25670:52"
"86","25917:92"
"87","26479:69"
"88","28288:5"
"89","28289:178"
"90","30399:40"
"91","31899:172"
"92","33032:28"
"93","36825:235"
"94","37841:40"
"95","45427:77"
"96","47333:152"
"97","48969:20"
"98","79247:66"
"99","82253:9"
"100","86071:141"
"101","343434:175"
"102","601397:123"
"103","631177:147"
"104","632209:156"
"105","738063:21"
"106","738842:79"
"107","837177:94"
"108","865967:148"
"109","1057040:163"
"110","7:113"
"111","1442:99"
"112","2047:127"
"113","2780:196"
"114","6305:155"
"115","9123:178"
"116","11925:47"
"117","13720:49"
"118","16856:28"
"119","17239:15"
"120","20796:23"
"121","46383:56"
"122","53219:165"
"123","54735:188"
"124","59751:34"
"125","63636:31"
"126","81108:21"
"127","421166:85"
"128","523327:105"
"129","604284:59"
"130","611185:95"
"131","791478:42"
"132","860708:142"
"133","989411:21"
"134","1022708:34"
"135","1037990:124"
"136","1156237:72"
"137","3513:63"
"138","7357:132"
"139","8116:19"
"140","10036:51"
"141","16161:112"
"142","19566:99"
"143","20155:143"
"144","22878:32"
"145","25019:37"
"146","33720:16"
"147","33720:120"
"148","33857:130"
"149","38157:119"
"150","43273:48"
"151","44565:64"
"152","334672:15"
"153","352447:55"
"154","735536:197"
"155","5249:135"
"156","8098:36"
"157","14662:115"
"158","15041:16"
"159","15979:57"
"160","16638:109"
"161","18941:148"
"162","25298:162"
"163","26282:17"
"164","28303:121"
"165","29038:116"
"166","29196:130"
"167","32202:60"
"168","35069:104"
"169","60730:40"
"170","63847:9"
"171","406558:158"
"172","529116:47"
"173","717631:167"
"174","807294:80"
"175","865967:42"
"176","996719:75"
"177","1050400:59"
"178","8098:149"
"179","10617:173"
"180","13946:42"
"181","17923:148"
"182","19240:108"
"183","33642:26"
"184","47861:27"
"185","53875:177"
"186","82082:71"
"187","948614:171"
"188","3446:158"
"189","5620:205"
"190","13405:8"
"191","49077:13"
"192","49646:85"
"193","50430:156"
"194","68332:15"
"195","742:67"
"196","3977:46"
"197","8523:136"
"198","9004:104"
"199","10475:111"
"200","15954:112"
"201","18829:6"
"202","21052:126"
"203","26294:74"
"204","26879:118"
"205","28670:148"
"206","35987:14"
"207","50767:51"
"208","59282:105"
"209","59808:218"
"210","66761:26"
"211","71716:79"
"212","1025718:49"
"213","685:44"
"214","11075:93"
"215","33242:43"
"216","48687:104"
"217","65504:197"
"218","75533:191"
"219","1000163:70"
"220","2145:28"
"221","19902:150"
"222","34524:167"
"223","40211:191"
"224","41066:83"
"225","41692:154"
"226","202:90"
"227","6898:130"
"228","22555:76"
"229","64283:71"
"230","7406:32"
"231","32755:31"
"232","35770:47"
"233","2457:95"
"234","18386:36"
"235","29003:47"
"236","33858:40"
"237","38005:63"
"238","52464:118"
"239","741134:75"
"240","236:172"
"241","1407:5"
"242","6054:21"
"243","26800:76"
"244","54659:11"
"245","17654:178"
"246","18551:91"
"247","28914:75"
"248","54725:108"
"249","59842:100"
"250","65711:11"
"251","65711:125"
"252","18008:136"
"253","18744:36"
"254","32079:66"
"255","40918:62"
"256","53520:51"
"257","56836:151"
"258","57171:31"
"259","66285:47"
"260","695781:21"
"261","1483:41"
"262","5679:81"
"263","24221:113"
"264","25298:47"
"265","36246:132"
"266","473374:9"
"267","634942:154"
"268","791727:20"
"269","982491:63"
"270","12245:11"
"271","13541:70"
"272","35563:49"
"273","48416:95"
"274","49637:12"
"275","71230:128"
