"","x"
"1","4:146"
"2","7:113"
"3","34:11"
"4","56:121"
"5","56:130"
"6","91:65"
"7","91:145"
"8","104:151"
"9","145:45"
"10","202:90"
"11","236:172"
"12","290:56"
"13","290:98"
"14","290:103"
"15","290:131"
"16","337:148"
"17","362:125"
"18","392:117"
"19","421:125"
"20","458:138"
"21","458:153"
"22","554:52"
"23","589:61"
"24","589:62"
"25","589:73"
"26","589:83"
"27","616:144"
"28","619:72"
"29","619:112"
"30","634:169"
"31","650:132"
"32","650:141"
"33","651:104"
"34","664:23"
"35","664:42"
"36","685:61"
"37","693:114"
"38","742:67"
"39","769:101"
"40","785:67"
"41","785:204"
"42","848:129"
"43","910:74"
"44","920:106"
"45","1023:221"
"46","1060:65"
"47","1075:64"
"48","1087:42"
"49","1087:106"
"50","1087:169"
"51","1087:171"
"52","1087:174"
"53","1124:153"
"54","1124:168"
"55","1272:46"
"56","1273:178"
"57","1407:102"
"58","1417:59"
"59","1417:117"
"60","1432:48"
"61","1432:58"
"62","1432:121"
"63","1442:99"
"64","1458:134"
"65","1483:41"
"66","1483:54"
"67","1483:57"
"68","1483:81"
"69","1517:133"
"70","1609:128"
"71","1664:32"
"72","1664:55"
"73","1664:168"
"74","1664:203"
"75","1837:161"
"76","1837:224"
"77","1840:138"
"78","1840:197"
"79","1929:174"
"80","1929:185"
"81","1929:186"
"82","1941:142"
"83","1941:170"
"84","1941:177"
"85","1941:192"
"86","1965:171"
"87","1978:254"
"88","2030:76"
"89","2047:127"
"90","2136:158"
"91","2145:28"
"92","2178:104"
"93","2199:159"
"94","2227:191"
"95","2248:18"
"96","2292:38"
"97","2375:222"
"98","2378:89"
"99","2386:83"
"100","2387:21"
"101","2387:163"
"102","2410:114"
"103","2457:95"
"104","2521:80"
"105","2567:69"
"106","2616:70"
"107","2677:39"
"108","2677:40"
"109","2677:93"
"110","2677:106"
"111","2677:113"
"112","2710:73"
"113","2710:81"
"114","2710:118"
"115","2767:9"
"116","2767:65"
"117","2767:145"
"118","2767:189"
"119","2780:168"
"120","2780:173"
"121","2780:196"
"122","2780:211"
"123","2890:6"
"124","2994:159"
"125","3015:124"
"126","3015:267"
"127","3043:129"
"128","3043:146"
"129","3043:171"
"130","3046:181"
"131","3157:76"
"132","3157:106"
"133","3211:59"
"134","3211:96"
"135","3234:7"
"136","3234:126"
"137","3248:153"
"138","3250:219"
"139","3275:272"
"140","3302:33"
"141","3302:52"
"142","3324:23"
"143","3324:68"
"144","3324:69"
"145","3324:79"
"146","3324:125"
"147","3324:192"
"148","3371:134"
"149","3380:37"
"150","3380:38"
"151","3434:183"
"152","3446:158"
"153","3474:103"
"154","3476:87"
"155","3513:63"
"156","3513:151"
"157","3594:155"
"158","3645:46"
"159","3725:73"
"160","3725:104"
"161","3735:11"
"162","3737:176"
"163","3743:48"
"164","3750:55"
"165","3750:150"
"166","3831:41"
"167","3831:115"
"168","3923:132"
"169","3939:94"
"170","3959:171"
"171","3977:46"
"172","3977:85"
"173","3977:102"
"174","4015:107"
"175","4015:108"
"176","4045:16"
"177","4045:75"
"178","4045:79"
"179","4045:112"
"180","4045:185"
"181","4045:199"
"182","4111:64"
"183","4111:132"
"184","4113:115"
"185","4118:156"
"186","4135:57"
"187","4135:77"
"188","4147:152"
"189","4181:157"
"190","4195:212"
"191","4215:168"
"192","4215:170"
"193","4215:173"
"194","4223:131"
